0332    17-04-2017 21:59:29    Alarm Start           Motion Detect, Channel 4
0333    17-04-2017 21:59:30    Alarm Stop            Motion Detect, Channel 4
0334    17-04-2017 21:59:36    Alarm Start           Motion Detect, Channel 4
0335    17-04-2017 21:59:36    Alarm Stop            Motion Detect, Channel 4
0336    17-04-2017 21:59:41    Alarm Start           Motion Detect, Channel 4
0337    17-04-2017 21:59:41    Alarm Stop            Motion Detect, Channel 4
0338    17-04-2017 21:59:44    Alarm Start           Motion Detect, Channel 4
0339    17-04-2017 21:59:44    Alarm Stop            Motion Detect, Channel 4
0340    17-04-2017 21:59:53    Alarm Start           Motion Detect, Channel 4
0341    17-04-2017 21:59:54    Alarm Stop            Motion Detect, Channel 4
0342    17-04-2017 22:00:12    Alarm Start           Motion Detect, Channel 4
0343    17-04-2017 22:00:12    Alarm Stop            Motion Detect, Channel 4
0344    17-04-2017 22:00:15    Alarm Start           Motion Detect, Channel 4
0345    17-04-2017 22:00:15    Alarm Stop            Motion Detect, Channel 4
0346    17-04-2017 22:00:21    Alarm Start           Motion Detect, Channel 4
0347    17-04-2017 22:00:22    Alarm Stop            Motion Detect, Channel 4
0348    17-04-2017 22:00:35    Alarm Start           Motion Detect, Channel 4
0349    17-04-2017 22:00:35    Alarm Stop            Motion Detect, Channel 4
0350    17-04-2017 22:00:38    Alarm Start           Motion Detect, Channel 4
0351    17-04-2017 22:00:38    Alarm Stop            Motion Detect, Channel 4
0352    17-04-2017 22:00:57    Alarm Start           Motion Detect, Channel 4
0353    17-04-2017 22:00:58    Alarm Stop            Motion Detect, Channel 4
0354    17-04-2017 22:01:00    Alarm Start           Motion Detect, Channel 4
0355    17-04-2017 22:01:00    Alarm Stop            Motion Detect, Channel 4
0356    17-04-2017 22:01:08    Alarm Start           Motion Detect, Channel 4
0357    17-04-2017 22:01:09    Alarm Stop            Motion Detect, Channel 4
0358    17-04-2017 22:01:25    Alarm Start           Motion Detect, Channel 4
0359    17-04-2017 22:01:25    Alarm Stop            Motion Detect, Channel 4
0360    17-04-2017 22:01:36    Alarm Start           Motion Detect, Channel 4
0361    17-04-2017 22:01:36    Alarm Stop            Motion Detect, Channel 4
0362    17-04-2017 22:01:38    Alarm Start           Motion Detect, Channel 4
0363    17-04-2017 22:01:38    Alarm Stop            Motion Detect, Channel 4
0364    17-04-2017 22:01:59    Alarm Start           Motion Detect, Channel 4
0365    17-04-2017 22:02:00    Alarm Stop            Motion Detect, Channel 4
0366    17-04-2017 22:02:37    Alarm Start           Motion Detect, Channel 4
0367    17-04-2017 22:02:37    Alarm Stop            Motion Detect, Channel 4
0368    17-04-2017 22:02:43    Alarm Start           Motion Detect, Channel 4
0369    17-04-2017 22:02:44    Alarm Stop            Motion Detect, Channel 4
0370    17-04-2017 22:02:49    Alarm Start           Motion Detect, Channel 4
0371    17-04-2017 22:02:50    Alarm Stop            Motion Detect, Channel 4
0372    17-04-2017 22:02:56    Alarm Start           Motion Detect, Channel 4
0373    17-04-2017 22:02:56    Alarm Stop            Motion Detect, Channel 4
0374    17-04-2017 22:03:03    Alarm Start           Motion Detect, Channel 4
0375    17-04-2017 22:03:03    Alarm Stop            Motion Detect, Channel 4
0376    17-04-2017 22:03:05    Alarm Start           Motion Detect, Channel 4
0377    17-04-2017 22:03:06    Alarm Stop            Motion Detect, Channel 4
0378    17-04-2017 22:03:12    Alarm Start           Motion Detect, Channel 4
0379    17-04-2017 22:03:13    Alarm Stop            Motion Detect, Channel 4
0380    17-04-2017 22:03:15    Alarm Start           Motion Detect, Channel 4
0381    17-04-2017 22:03:15    Alarm Stop            Motion Detect, Channel 4
0382    17-04-2017 22:03:19    Alarm Start           Motion Detect, Channel 4
0383    17-04-2017 22:03:19    Alarm Stop            Motion Detect, Channel 4
0384    17-04-2017 22:03:30    Alarm Start           Motion Detect, Channel 4
0385    17-04-2017 22:03:30    Alarm Stop            Motion Detect, Channel 4
